단어,점수
사리다,0
사리물다,0
사마,0
사먹다,0
사무치다,0
사보다,0
사부작대다,0
사서,0
사수,0
사실,0
사안,0
사야가,0
사오다,0
사옵니다,0
사용,0
사위,0
사위다,0
사이,0
사자,0
사주다,0
사주면,0
사지,0
사진,0
사하다,0
사해,0
삭이다,0
삭히다,0
산다,0
산소,0
산이,0
산줄기,0
살길,0
살다,0
살라,0
살랑대다,2
살랑이다,1
살리다,1
살림,0
살수,0
살아가다,1
살아나다,1
살아오다,0
살이,0
살펴보다,1
살피,0
살피다,0
삶다,0
삼가다,0
삼거리,0
삼다,0
삼재,0
삼키다,0
새근대다,0
새기다,0
새김,0
새다,0
새우,0
새우다,0
샘내다,-2
샘솟다,0
생각나다,0
생겨나다,0
생기,0
생기다,0
서걱대다,0
서걱이다,0
서고,0
서구,0
서글퍼지다,-2
서기,0
서다,0
서두르다,-1
서둘다,-1
서든,0
서럽다,-2
서리,0
서리다,0
서면,0
서서,0
서성거리다,-1
서성대다,-1
서성이다,-1
서슴다,0
서울,0
서지,0
섞다,0
섞이다,0
선거,0
선보다,0
선보이다,0
선수,0
선시,0
선우,0
선인,0
선지,0
설계,0
설다,0
설익다,0
섬겨지다,1
섬기다,1
성나다,0
성남,-1
성내다,-1
세계,0
세다,0
세도,0
세수,0
세우다,0
세워지다,0
세지,0
소름끼치다,-1
소리내다,0
소리치다,-1
소문나다,0
속닥거리다,0
속닥이다,0
속달거리다,0
속삭이다,0
속살거리다,0
속이다,-2
손꼽다,0
손대다,0
손잡다,1
솟구치다,0
솟다,0
솟아오르다,0
수군거리다,-1
수군대다,-1
수런거리다,-1
수선거리다,-1
수선대다,-1
숙덕거리다,-1
숙이다,0
술렁거리다,0
술렁대다,0
술렁이다,0
숨기,0
숨기다,0
숨다,0
숨쉬다,0
숨지다,0
쉬다,0
스멀거리다,0
스멀대다,0
스며들다,0
스미다,0
스쳐보다,0
스치다,0
슬렁거리다,0
슴벅이다,0
시끌벅적거리다,0
시끌벅적대다,0
시달리다,-1
시들거리다,-1
시들다,-1
시뻘게지다,-1
시새다,0
시새우다,0
시샘,-1
시시대다,0
시시덕거리다,0
시집가다,0
시커메지다,0
시큰거리다,0
시큰대다,0
시키다,0
시킴,0
시퍼레지다,0
식구,0
식다,0
식히다,0
신계,0
신고,-1
신기,0
신기다,0
신다,0
신시,0
신어,0
신음,0
신자,0
신지,0
신하,0
싣다,0
실룩거리다,1
실리,0
실리다,0
심각해지다,0
심다,0
심리,0
심지어,0
심해지다,-1
싱글거리다,1
싶다,0
싸고돌다,0
싸다,1
싸다니다,0
싸매다,0
싸우다,-2
싸움,-2
싸이다,0
싸인,0
싸잡다,0
싸지르다,0
싹트다,0
쌓다,0
쌓이다,0
쌕쌕거리다,-1
쌩까다,-2
써다,0
써리다,0
써주다,0
썩다,0
썩이다,0
썰다,0
썰리다,0
쏘다,0
쏘아보다,0
쏘이다,0
쏘지르다,0
쏟다,0
쏟아내다,0
쏟아지다,0
쏠다,0
쏠리다,0
쐬다,0
쑤다,0
쑤시다,0
쓰기,0
쓰다,0
쓰다듬다,2
쓰러지다,-1
쓰시,0
쓰이다,0
쓴다,0
쓸다,0
쓸리다,0
씌우다,0
씨근거리다,0
씨부리다,-1
씩씩거리다,-1
씩씩대다,-1
씰룩거리다,1
씰룩이다,1
씹다,0
씹히다,0
씻기다,0
씻다,0
아끼다,2
아로새기다,0
아롱거리다,0
아롱지다,0
아뢰다,0
아른거리다,0
아른대다,0
아름거리다,0
아름다워지다,0
아름대다,0
아물거리다,0
아물다,0
아삭거리다,0
아삭대다,0
아스러지다,0
아우라,0
아우러지다,0
아우르다,0
아우성치다,0
아울리다,0
아작이다,0
아장거리다,0
악물다,0
악쓰다,-1
악악거리다,0
악악대다,0
악화시키다,0
안거,0
안고,0
안기다,1
안길,1
안나,0
안내,1
안내받다,1
안내소,1
안다,0
안도,1
안떨어지다,0
안이,0
안전,0
안정화시키다,1
안주,0
안지,0
안질리다,1
앉다,0
앉히다,0
않다,0
알다,0
알랑거리다,0
알려지다,0
알리다,0
알아내다,0
알아듣다,0
알아맞히다,0
알아보다,0
알아주다,0
알아차리다,0
알아채다,0
알짱거리다,0
알짱대다,0
앍다,0
앓다,0
앓아눕다,0
암지르다,0
압축시키다,0
앗다,0
앙다물다,0
앙앙대다,0
앞당겨지다,0
앞당기다,0
앞두다,0
앞서,0
앞서다,0
앞세우다,0
앞장서다,0
앞장세우다,0
애쓰다,0
앵앵거리다,0
앵앵대다,0
야물다,-1
야위다,0
약해지다,-1
어그러지다,0
어긋나다,-1
어기다,-1
어기적거리다,0
어기적대다,0
어두워지다,0
어딨다,0
어려워지다,-1
어루만지다,1
어룽거리다,0
어룽대다,0
어룽지다,0
어르다,0
어른,0
어른거리다,0
어른대다,0
어리다,0
어린이,0
어물거리다,-1
어물쩍거리다,-1
어슬렁거리다,-1
어슬렁대다,-1
어우러지다,0
어우르다,0
어울리다,1
어울림,1
어정거리다,0
어정대다,0
어지러워지다,-1
어지럽혀지다,-1
어지럽히다,-1
어지르다,-1
어질거리다,0
억눌리다,-1
억압받다,-2
억억거리다,0
억제시키다,1
얹다,0
얹혀살다,0
얹히다,0
얻다,0
얻어맞다,-2
얻어먹다,0
얼다,0
얼룩지다,-1
얼른,0
얼리다,0
얼버무리다,-1
얼비치다,0
얼빠지다,-1
얼싸다,0
얼싸안다,1
얼씬거리다,0
얼어붙다,0
얼음,0
얼쩡거리다,-1
얼쩡대다,-1
얽다,0
얽매다,0
얽매이다,0
얽히다,0
업다,0
업도,0
없애다,0
없어지다,0
엇갈리다,0
엉엉거리다,0
엉클다,-1
엉클어지다,-1
엎드리다,0
엎어지다,0
여가,0
여겨지다,0
여기,0
여기다,0
여니,0
여위다,0
여유롭다,2
여쭈다,0
여한,0
열거,0
열기,0
열다,0
열리다,0
열매,0
엿보다,0
였음,0
오가다,0
오구,0
오그라들다,0
오그라지다,0
오그리다,0
오글거리다,0
오기,0
오냐,0
오는,0
오니,0
오다,0
오도,0
오도독거리다,0
오독거리다,0
오라,0
오르내리다,0
오르다,0
오른,0
오름,0
오물거리다,0
오므라들다,0
오므라지다,0
오므리다,0
오비다,0
오시,0
오신,0
오십,0
오싹거리다,0
오염시키다,0
오이,0
오자,0
오전,0
오지,0
오진,0
오히려,0
온건,0
올라가다,0
올라서다,0
올라오다,0
올라타다,0
올려놓다,0
올려다보다,0
